env,refinement,algo,r_mean,r_std,%fail,l_mean
Walker2DBulletEnv-v0,original,ppo,2107.98751887,14.649057893110058,0.0,1000.0
Walker2DBulletEnv-v0,original,ddpg,1350.8281962099998,721.0216679023332,48.0,697.52
Walker2DBulletEnv-v0,original,tqc,2567.7351154400003,497.8000445436884,4.0,962.74
Walker2DBulletEnv-v0,original,a2c,800.3723206999999,377.6093029433531,21.0,808.31
Walker2DBulletEnv-v0,original,td3,2195.97152492,269.97359409833143,20.0,980.74
Walker2DBulletEnv-v0,original,sac,2290.7101417,17.82504652999665,2.0,999.46
Walker2DBulletEnv-v0,refined,ppo,2223.53350295,274.815736710495,3.0,979.99
Walker2DBulletEnv-v0,refined,ddpg,1858.94589255,459.4131514441591,6.0,943.2
Walker2DBulletEnv-v0,refined,tqc,2810.48867374,7.686158007704718,0.0,1000.0
Walker2DBulletEnv-v0,refined,a2c,948.6332745100001,202.63890315010963,5.0,954.58
Walker2DBulletEnv-v0,refined,td3,2403.17315774,10.849094870965057,3.0,999.89
Walker2DBulletEnv-v0,refined,sac,2411.2126490899996,17.874187203625684,1.0,999.34
