,post,config.algo,config.env_name,mdim_mean,mdim_std,cdim_mean,cdim_std,ureward_mean,ureward_std,nreward_mean,nreward_std,len_mean,cdim_nan_mean
0,iden,tqc,PandaReach-v1,0.768377102174028,0.13888521103584134,4.698511841445034,1.3324125383770349,0.0,0.0,0.0,0.0,0.0,4.698511841445034
1,iden,tqc,PandaPickAndPlace-v1,0.6665723150789564,0.17696685404128262,2.5967029610350116,0.4846738301071566,0.0,0.0,0.0,0.0,0.0,2.5967029610350116
2,iden,tqc,PandaPush-v1,0.6547998805674335,0.06451301994019358,3.159500488544281,0.8767156756953599,0.0,0.0,0.0,0.0,0.0,3.159500488544281
3,iden,tqc,PandaSlide-v1,0.5660816403335163,0.07124985884914271,3.2100325613309884,0.7011901383772656,0.0,0.0,0.0,0.0,0.0,3.2100325613309884
4,iden,tqc,PandaStack-v1,0.6153180918559941,0.06629566708770265,2.7311938574946977,0.4142028136657976,0.0,0.0,0.0,0.0,0.0,2.7311938574946977
5,iden,tqc,FetchReach-v1,0.6378973907891249,0.04830220534418519,2.9282673047133603,1.3654705009645665,0.0,0.0,0.0,0.0,0.0,2.9282673047133603
6,iden,tqc,FetchPickAndPlace-v1,0.7474730743216602,0.02850035431111072,4.675893246512743,0.970016618990586,0.0,0.0,0.0,0.0,0.0,4.675893246512743
7,iden,tqc,FetchPush-v1,0.7266558540571987,0.06925294013160012,4.989771054245434,0.8760815218448658,0.0,0.0,0.0,0.0,0.0,4.989771054245434
8,iden,tqc,FetchSlide-v1,0.8295147050810673,0.07602587196295965,3.9885681434539686,0.8062351430470668,0.0,0.0,0.0,0.0,0.0,3.9885681434539686
9,DualRewardDiv_mdim_safe_stable_nolen,tqc,PandaReach-v1,0.6621670944592684,0.04139484486412348,3.614338448851663,1.0291908869821027,0.0,0.0,0.0,0.0,0.0,3.614338448851663
10,DualRewardDiv_mdim_safe_stable_nolen,tqc,PandaPickAndPlace-v1,0.8480925624792478,0.2484687638017164,3.1617222401218803,1.0920561216266222,0.0,0.0,0.0,0.0,0.0,3.1617222401218803
11,DualRewardDiv_mdim_safe_stable_nolen,tqc,PandaPush-v1,0.6416465402714782,0.13023727619883094,3.39783644923218,0.6429834834608631,0.0,0.0,0.0,0.0,0.0,3.39783644923218
12,DualRewardDiv_mdim_safe_stable_nolen,tqc,PandaSlide-v1,0.4410404171652183,0.030240070631126336,1.981437271418232,0.5864914135332343,0.0,0.0,0.0,0.0,0.0,1.981437271418232
13,DualRewardDiv_mdim_safe_stable_nolen,tqc,PandaStack-v1,0.6108506562011895,0.06507501683518761,2.7311938574946977,0.4142028136657976,0.0,0.0,0.0,0.0,0.0,2.7311938574946977
14,DualRewardDiv_mdim_safe_stable_nolen,tqc,FetchReach-v1,0.6230835263798725,0.0390352497066875,3.0762335452725598,1.0457925977284288,0.0,0.0,0.0,0.0,0.0,3.0762335452725598
15,DualRewardDiv_mdim_safe_stable_nolen,tqc,FetchPickAndPlace-v1,0.72641211441465,0.06211672294160586,5.418221793488224,1.1341061218992896,0.0,0.0,0.0,0.0,0.0,5.418221793488224
16,DualRewardDiv_mdim_safe_stable_nolen,tqc,FetchPush-v1,0.7283187862624378,0.03844287948366122,4.957498128839564,1.8342520881139104,0.0,0.0,0.0,0.0,0.0,4.957498128839564
17,DualRewardDiv_mdim_safe_stable_nolen,tqc,FetchSlide-v1,0.7763157521021843,0.1436933534886242,3.8663858323798483,1.0165856426531354,0.0,0.0,0.0,0.0,0.0,3.8663858323798483
18,DualRewardDiv_cdim_safe_stable_nolen,tqc,PandaReach-v1,0.6946934881853399,0.07613329201413449,3.9068987607578256,1.1393506765214922,0.0,0.0,0.0,0.0,0.0,3.9068987607578256
19,DualRewardDiv_cdim_safe_stable_nolen,tqc,PandaPickAndPlace-v1,1.01266058388465,0.3707683042066026,3.394447433659561,0.8284748477509845,0.0,0.0,0.0,0.0,0.0,3.394447433659561
20,DualRewardDiv_cdim_safe_stable_nolen,tqc,PandaPush-v1,0.7372369622187611,0.10339530034212924,3.2975167281535995,1.1074754518010301,0.0,0.0,0.0,0.0,0.0,3.2975167281535995
21,DualRewardDiv_cdim_safe_stable_nolen,tqc,PandaSlide-v1,0.784856803920903,0.1543243550823523,3.5191226184895057,1.1369816986025227,0.0,0.0,0.0,0.0,0.0,3.5191226184895057
22,DualRewardDiv_cdim_safe_stable_nolen,tqc,PandaStack-v1,0.6191159373442617,0.06860009376357315,2.1482184591776208,0.15136525312784954,0.0,0.0,0.0,0.0,0.0,2.1482184591776208
23,DualRewardDiv_cdim_safe_stable_nolen,tqc,FetchReach-v1,0.6243843613414951,0.036867043675581176,3.1166382861686333,1.4779948354670065,0.0,0.0,0.0,0.0,0.0,3.1166382861686333
24,DualRewardDiv_cdim_safe_stable_nolen,tqc,FetchPickAndPlace-v1,0.7481833711378381,0.06398452587395967,4.6281691163990635,0.8394249831349759,0.0,0.0,0.0,0.0,0.0,4.6281691163990635
25,DualRewardDiv_cdim_safe_stable_nolen,tqc,FetchPush-v1,0.7095077245333192,0.08732632399705031,3.6962715936920154,0.6537616120397888,0.0,0.0,0.0,0.0,0.0,3.6962715936920154
26,DualRewardDiv_cdim_safe_stable_nolen,tqc,FetchSlide-v1,0.8619907940573841,0.05344339594082413,4.192026581620884,0.8786459263376003,0.0,0.0,0.0,0.0,0.0,4.192026581620884
