,mdim_mean,mdim_nan_mean,mdim_std,nreward_mean,nreward_std,ureward_mean,ureward_std,len_mean,config.train,config.algo,config.env_name
0,1.9634755357891027,1.9634755357891027,0.1328939756852846,33.37648620605469,0.1703490298796122,2111.3645081,10.776165352270969,1000.0,False,ppo,Walker2DBulletEnv-v0
1,,0.933990841531384,,38.49328496456146,11.745547176393107,905.9549499,276.43617966451257,909.8,False,a2c,Walker2DBulletEnv-v0
2,1.8172644547300143,1.8172644547300143,0.09295457494319304,26.925795936584468,0.35950218379610144,2908.1696115999994,38.82868314038704,1000.0,False,ppo,HalfCheetahBulletEnv-v0
3,2.125697700270536,2.125697700270536,0.15935509795326705,32.7962287902832,0.5985926413704534,2097.7295873,38.287512146864536,1000.0,False,a2c,HalfCheetahBulletEnv-v0
4,1.6130650487296792,1.6130650487296792,0.0843078477606322,29.168803596496577,3.029837871382856,2537.0988821999995,263.53489783061235,966.4,False,ppo,HopperBulletEnv-v0
5,1.0914046504694972,1.0914046504694972,0.12657423820364674,13.005136203765867,5.856329521911231,768.6943315000001,346.1499684282395,534.7,False,a2c,HopperBulletEnv-v0
6,1.1521329541712808,1.1521329541712808,0.15336523643320585,29.530500411987305,0.42872099372938977,1868.0711325999998,27.120454248483373,1000.0,True,ppo,Walker2DBulletEnv-v0
7,0.93750439532896,0.93750439532896,0.007751078490245555,42.56091194152832,0.08532867779967684,1001.6881949,2.0082344164306765,1000.0,True,a2c,Walker2DBulletEnv-v0
8,1.6815365103449014,1.6815365103449014,0.06683508045379832,23.65557689666748,0.6519541980988132,2554.9636868000002,70.41548069388426,1000.0,True,ppo,HalfCheetahBulletEnv-v0
9,1.6159178237317735,1.6159178237317735,0.09256684022981752,31.095783805847173,0.4890651400128651,1988.9648040999998,31.281857750620656,1000.0,True,a2c,HalfCheetahBulletEnv-v0
10,1.419093061748065,1.419093061748065,0.04054723842794193,29.22133388519287,0.4803228795161314,2541.6679446000007,41.77837707432054,995.7,True,ppo,HopperBulletEnv-v0
11,1.4833344929089909,1.4833344929089909,0.025716992151136955,37.88340263366699,0.4156603753436045,2239.1735038,24.568393809927908,1000.0,True,a2c,HopperBulletEnv-v0
